var1,var2,pearson_r,spearman_r,abs_pearson,abs_spearman,same_sign,delta
fare_amount,total_amount,0.9803228496443668,0.9656822853260074,0.9803228496443668,0.9656822853260074,True,-0.014640564318359361
mta_tax,improvement_surcharge,0.8459888466690492,0.6498145207101601,0.8459888466690492,0.6498145207101601,True,-0.19617432595888906
tip_amount,total_amount,0.7096183287039567,0.5921742809129347,0.7096183287039567,0.5921742809129347,True,-0.11744404779102202
tolls_amount,total_amount,0.6923412028736033,0.4356494208117493,0.6923412028736033,0.4356494208117493,True,-0.25669178206185406
total_amount,airport_fee,0.6275833809991458,0.4332481851906011,0.6275833809991458,0.4332481851906011,True,-0.1943351958085447
fare_amount,tolls_amount,0.6216869296293097,0.42495289482223825,0.6216869296293097,0.42495289482223825,True,-0.19673403480707147
fare_amount,airport_fee,0.6046478109475726,0.4356080053445658,0.6046478109475726,0.4356080053445658,True,-0.1690398056030068
fare_amount,tip_amount,0.5901523454780634,0.45200271438854006,0.5901523454780634,0.45200271438854006,True,-0.13814963108952333
mta_tax,congestion_surcharge,0.5171232745616591,0.38408937788904696,0.5171232745616591,0.38408937788904696,True,-0.13303389667261212
improvement_surcharge,congestion_surcharge,0.5014780843990381,0.30219904151522153,0.5014780843990381,0.30219904151522153,True,-0.19927904288381654
tolls_amount,airport_fee,0.4702007928525147,0.5387278938482847,0.4702007928525147,0.5387278938482847,True,0.06852710099576997
tip_amount,tolls_amount,0.4645984687178185,0.2487150692329697,0.4645984687178185,0.2487150692329697,True,-0.2158833994848488
tip_amount,airport_fee,0.40472836019813707,0.20249184471375892,0.40472836019813707,0.20249184471375892,True,-0.20223651548437815
congestion_surcharge,airport_fee,-0.36099455982814554,-0.41115953912307207,0.36099455982814554,0.41115953912307207,True,0.050164979294926526
extra,airport_fee,0.2958300553557922,0.17021611185060387,0.2958300553557922,0.17021611185060387,True,-0.12561394350518834
extra,total_amount,0.22225063736034703,0.14806287494728634,0.22225063736034703,0.14806287494728634,True,-0.07418776241306069
extra,tolls_amount,0.21955141152803698,0.13949426804384096,0.21955141152803698,0.13949426804384096,True,-0.08005714348419601
improvement_surcharge,total_amount,0.20657965612807652,0.1470685891163415,0.20657965612807652,0.1470685891163415,True,-0.05951106701173503
fare_amount,improvement_surcharge,0.18794284642938747,0.1448899503201839,0.18794284642938747,0.1448899503201839,True,-0.04305289610920357
fare_amount,congestion_surcharge,-0.18182506856102032,-0.1483038278680734,0.18182506856102032,0.1483038278680734,True,-0.03352124069294693
extra,tip_amount,0.17451847934267314,0.11112859588943551,0.17451847934267314,0.11112859588943551,True,-0.06338988345323764
fare_amount,extra,0.14171105903011316,0.0585101070397722,0.14171105903011316,0.0585101070397722,True,-0.08320095199034097
total_amount,congestion_surcharge,-0.13066283818999594,-0.10547241981911601,0.13066283818999594,0.10547241981911601,True,-0.02519041837087993
extra,mta_tax,0.13021558382252,0.1387158485597385,0.13021558382252,0.1387158485597385,True,0.008500264737218516
extra,improvement_surcharge,0.12722733434855837,0.12475351700958104,0.12722733434855837,0.12475351700958104,True,-0.0024738173389773355
tolls_amount,congestion_surcharge,-0.11523235617091922,-0.10141427392120841,0.11523235617091922,0.10141427392120841,True,-0.013818082249710803
mta_tax,tolls_amount,-0.08117088771763609,-0.055922011491818205,0.08117088771763609,0.055922011491818205,True,-0.02524887622581788
tip_amount,improvement_surcharge,0.07772384115818763,0.1130258532449981,0.07772384115818763,0.1130258532449981,True,0.03530201208681047
improvement_surcharge,airport_fee,0.07310420781340943,0.06366113488109598,0.07310420781340943,0.06366113488109598,True,-0.009443072932313445
mta_tax,total_amount,0.07175402116330382,0.04226449662863354,0.07175402116330382,0.04226449662863354,True,-0.029489524534670276
