feature,method,lower_fence,upper_fence,n_outliers,pct_non_missing,pct_all
trip_distance,IQR,-2.345,6.735,390244,12.724935648823548,12.724935648823548
trip_distance,zscore,-744.9039261750816,752.5986102364022,67,0.0021847118430294325,0.0021847118430294325
